26 97 80
44 34 32
17 42 70
11 40 31
18 46 91
80 17 72
4 100 37
35 41 69
76 23 51
23 33 44
42 68 12
68 91 22
31 23 43
21 64 48
68 11 53
64 25 35
92 62 66
32 60 66
45 71 51
31 53 51
92 17 44
80 77 33
36 14 6
25 48 76
96 5 60
55 77 57
47 19 79
12 52 11
71 34 1
52 19 59
71 13 42
84 2 35
3 69 99
20 25 95
38 4 71
79 79 98
70 37 61
33 66 22
4 37 49
64 27 28
75 93 53
73 89 6
52 49 76
64 58 65
96 87 49
39 22 49
41 100 88
100 66 71
36 9 52
13 25 26
53 38 60
54 10 23
57 89 23
4 72 92
19 81 20
24 34 77
36 27 23
69 66 17
54 84 19
1 23 73
33 36 81
15 78 47
92 30 77
85 15 75
41 47 4
56 73 71
63 99 39
93 78 13
89 54 47
34 65 7
53 39 8
16 79 34
99 30 47
8 63 35
44 7 92
18 96 63
34 60 47
33 31 47
38 81 90
1 67 78
52 11 15
42 28 81
90 72 12
99 12 31
18 25 25
9 19 89
18 12 63
100 16 59
45 33 33
82 76 81
59 20 76
100 94 67
100 24 8
79 45 91
15 72 23
15 91 68
36 13 58
62 45 16
20 50 16
41 42 1
38 79 75
28 49 51
3 48 85
98 57 74
86 63 12
76 51 50
71 39 62
63 75 26
26 28 5
43 10 75
89 16 13
34 46 91
58 79 32
57 53 35
65 5 66
39 77 6
80 15 44
44 66 55
53 34 26
97 11 53
30 33 76
32 89 73
67 80 20
1 70 21
55 61 70
43 84 33
4 78 30
90 5 36
83 59 72
45 23 18
58 42 93
7 1 3
39 27 69
7 37 87
44 90 61
63 83 53
97 5 20
33 93 95
99 16 55
93 90 49
44 51 71
26 40 23
19 63 99
87 60 93
98 22 76
2 76 13
65 54 43
52 29 50
96 69 11
38 56 36
85 8 20
35 85 80
26 51 72
5 24 14
16 61 84
82 48 80
66 62 85
64 7 42
40 14 71
70 52 57
88 82 10
19 62 44
26 76 69
9 49 10
30 26 46
17 1 34
27 43 71
23 98 51
58 38 27
25 93 67
77 42 61
57 32 21
30 63 37
35 60 44
28 45 82
1 40 39
59 48 47
29 13 30
36 72 11
83 88 38
48 33 67
78 15 72
9 20 99
72 21 37
60 48 37
57 5 21
72 85 98
83 5 23
80 7 23
28 91 40
58 88 23
39 22 74
67 77 45
65 35 14
84 76 47
85 87 78
81 1 4
20 77 56
3 89 18
79 81 43
10 8 46
54 5 24
79 34 7
92 48 92
71 27 40
34 82 41
43 48 93
81 76 62
15 61 78
41 10 88
81 23 2
42 82 97
21 20 73
56 79 80
86 74 83
43 71 81
58 2 90
37 3 36
59 82 39
3 82 7
76 50 64
88 15 36
36 9 98
100 20 47
90 2 5
27 100 83
33 50 13
78 21 67
28 65 16
23 68 67
80 16 26
73 86 41
46 15 92
60 54 26
85 27 26
85 12 46
69 33 80
38 100 38
70 23 50
79 15 8
90 14 28
5 92 70
35 34 82
32 38 32
80 60 42
77 6 98
58 45 5
70 4 23
31 9 42
30 65 24
100 74 49
73 48 66
29 16 71
30 26 65
9 3 68
23 95 34
8 58 45
28 50 1
92 50 34
33 87 6
98 27 45
46 69 27
85 87 24
38 41 43
80 7 7
7 29 21
57 73 22
88 26 31
51 33 42
40 6 45
99 69 32
24 59 52
96 54 65
17 33 6
7 40 81
57 11 71
76 88 93
16 28 67
65 15 50
48 66 57
20 68 37
57 71 5
46 73 49
27 31 92
91 16 89
57 1 59
4 35 55
54 51 16
12 70 62
5 27 32
43 76 73
14 64 70
99 50 99
89 73 89
35 42 100
80 36 55
25 47 22
73 81 42
97 85 54
34 89 89
84 38 26
97 56 39
99 81 36
98 38 15
3 12 19
10 53 64
62 4 51
13 11 19
51 23 76
9 29 51
46 54 43
59 95 71
66 64 34
3 66 48
9 1 92
97 71 72
40 68 16
31 39 58
35 22 33
32 42 18
96 12 32
64 54 13
22 84 48
80 64 54
39 58 17
58 86 48
69 89 44
44 42 85
1 58 79
20 89 22
18 74 64
72 93 47
28 79 75
46 16 68
45 9 5
37 65 14
87 52 68
9 97 62
12 90 79
35 8 17
56 87 7
41 32 5
45 18 54
9 23 62
23 82 23
68 29 76
7 44 27
94 27 78
64 9 71
71 81 19
68 65 19
65 19 83
7 11 17
79 19 92
62 96 86
72 10 35
26 92 5
44 45 44
45 38 40
46 43 4
30 24 74
23 46 16
82 46 86
40 52 55
91 69 63
38 98 43
63 98 44
61 50 12
70 72 62
54 77 35
1 89 73
53 99 10
28 63 52
80 61 95
81 39 77
24 71 86
41 34 54
29 28 54
77 42 56
6 17 62
12 4 18
3 85 68
36 78 67
99 62 95
43 85 47
97 100 71
46 36 51
96 5 58
100 68 58
43 39 53
20 93 42
11 30 51
51 77 26
85 13 5
36 92 46
86 88 91
62 96 30
36 20 52
27 33 25
7 10 11
44 76 58
42 10 64
69 84 21
71 70 64
47 88 34
92 75 34
68 5 66
12 10 47
68 62 89
23 94 100
73 62 18
52 76 74
97 1 58
1 16 5
44 88 73
31 42 11
53 32 85
13 58 3
86 29 9
49 77 86
95 8 65
8 23 47
78 52 78
98 56 83
9 67 39
56 64 8
63 3 4
13 72 68
82 87 69
48 48 99
42 6 91
37 43 25
69 3 7
66 70 99
93 13 86
47 91 25
45 4 50
62 75 66
25 27 38
28 96 20
74 64 30
35 42 14
86 97 36
50 88 22
51 22 27
16 64 40
27 91 21
46 61 68
48 84 67
96 76 15
54 21 63
29 64 39
95 57 86
67 31 69
100 23 27
57 2 17
40 87 84
16 51 11
78 79 73
100 72 75
11 56 78
92 60 69
55 66 65
48 78 77
11 6 86
5 22 9
64 12 96
97 66 95
27 14 51
47 99 73
70 88 39
82 96 51
38 11 27
68 33 40
65 95 69
99 67 79
66 64 87
72 85 99
74 59 12
45 53 14
90 52 56
77 36 3
61 87 1
47 8 57
58 33 64
72 47 29
93 51 21
28 75 37
85 65 100
97 90 51
37 28 100
36 56 51
41 62 9
38 76 12
66 41 68
10 72 45
10 23 33
77 75 30
61 13 90
46 28 77
93 45 68
96 68 78
57 31 46
49 92 31
24 52 14
85 16 32
86 26 6
20 40 17
19 42 4
62 50 6
79 45 16
34 44 70
80 64 18
70 5 41
54 97 43
75 49 59
68 54 6
83 37 79
83 24 37
94 5 24
47 43 87
23 15 63
46 90 96
21 2 93
85 86 80
92 73 43
87 26 54
35 57 61
51 81 96
87 62 41
49 55 52
46 43 25
92 71 22
80 85 54
5 56 60
61 66 48
95 90 60
49 54 10
75 2 65
89 38 12
13 17 98
74 3 74
52 78 41
35 2 76
53 95 60
69 27 100
13 6 61
49 81 43
63 92 33
90 28 93
18 33 24
20 98 33
7 75 26
6 82 88
90 32 67
88 33 44
20 5 40
39 76 92
6 50 58
62 38 93
57 60 94
82 6 52
42 59 49
33 11 47
28 57 22
35 47 43
3 11 95
52 87 14
71 45 77
55 72 6
45 49 9
94 49 49
26 58 14
18 29 36
29 17 32
80 92 87
43 60 42
35 77 94
50 71 39
6 32 9
80 90 44
28 30 71
89 30 72
29 44 30
83 27 42
14 61 30
36 30 21
82 23 69
90 7 21
98 71 40
95 26 10
14 1 16
76 94 100
7 66 61
1 53 93
13 82 27
21 87 51
43 87 40
66 99 60
92 12 74
15 34 99
85 46 71
68 53 51
94 23 59
72 55 77
55 84 99
42 64 21
42 42 60
62 60 24
17 47 87
3 20 35
100 52 16
50 14 72
28 49 27
9 77 26
61 95 59
77 94 2
65 82 18
18 50 3
47 9 21
94 8 37
42 90 9
79 78 15
4 72 94
29 19 60
21 97 28
32 86 32
35 98 30
71 93 3
36 39 53
4 33 18
92 18 22
100 41 22
75 53 66
67 58 59
95 5 14
81 6 31
16 77 29
67 20 44
10 52 1
37 63 57
97 92 59
12 16 33
35 48 82
30 80 94
70 65 48
51 62 45
59 41 59
61 91 79
45 47 55
100 80 64
99 39 10
96 43 69
57 4 69
84 31 35
77 70 28
76 45 82
77 74 24
48 98 13
11 94 27
22 10 62
93 17 98
19 18 1
77 52 33
2 29 32
58 83 99
96 32 94
18 36 71
65 79 60
9 26 69
60 71 83
1 88 71
47 59 83
13 36 36
28 35 54
1 8 97
32 62 83
86 79 71
88 53 65
67 62 38
91 41 37
7 69 39
86 25 91
99 60 37
41 75 37
49 11 87
56 100 65
82 31 77
79 75 89
5 78 36
88 95 100
19 85 78
58 84 62
94 88 76
40 30 33
93 49 39
61 11 59
4 64 74
86 20 58
48 48 11
